Series_Title,Released_Year,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,soup
le charme discret de la bourgeoisie,1972,Comedy,7.9,a surreal virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together,93.0,luisbuñuel,fernandorey,delphineseyrig,paulfrankeur,le charme discret de la bourgeoisie comedy luisbuñuel fernandorey delphineseyrig paulfrankeur a surreal virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together
"aguirre, der zorn gottes",1972,"Action, Adventure, Biography",7.9,in the 16th century the ruthless and insane don lope de aguirre leads a spanish expedition in search of el dorado,78.0,wernerherzog,klauskinski,ruyguerra,helenarojo,aguirre der zorn gottes action adventure biography wernerherzog klauskinski ruyguerra helenarojo in the 16th century the ruthless and insane don lope de aguirre leads a spanish expedition in search of el dorado
harold and maude,1971,"Comedy, Drama, Romance",7.9,young rich and obsessed with death harold finds himself changed forever when he meets lively septuagenarian maude at a funeral,62.0,halashby,ruthgordon,budcort,vivianpickles,harold and maude comedy drama romance halashby ruthgordon budcort vivianpickles young rich and obsessed with death harold finds himself changed forever when he meets lively septuagenarian maude at a funeral
patton,1970,"Biography, Drama, War",7.9,the world war ii phase of the career of controversial american general george s patton,91.0,franklinjschaffner,georgecscott,karlmalden,stephenyoung,patton biography drama war franklinjschaffner georgecscott karlmalden stephenyoung the world war ii phase of the career of controversial american general george s patton
the wild bunch,1969,"Action, Adventure, Western",7.9,"an aging group of outlaws look for one last big score as the ""traditional"" american west is disappearing around them",97.0,sampeckinpah,williamholden,ernestborgnine,robertryan,"the wild bunch action adventure western sampeckinpah williamholden ernestborgnine robertryan an aging group of outlaws look for one last big score as the ""traditional"" american west is disappearing around them"
night of the living dead,1968,"Horror, Thriller",7.9,a ragtag group of pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the east coast of the united states,89.0,georgearomero,duanejones,juditho'dea,karlhardman,night of the living dead horror thriller georgearomero duanejones juditho'dea karlhardman a ragtag group of pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the east coast of the united states
the lion in winter,1968,"Biography, Drama, History",7.9,1183 ad: king henry ii's three sons all want to inherit the throne but he won't commit to a choice they and his wife variously plot to force him,78.0,anthonyharvey,petero'toole,katharinehepburn,anthonyhopkins,the lion in winter biography drama history anthonyharvey petero'toole katharinehepburn anthonyhopkins 1183 ad: king henry ii's three sons all want to inherit the throne but he won't commit to a choice they and his wife variously plot to force him
in the heat of the night,1967,"Crime, Drama, Mystery",7.9,a black police detective is asked to investigate a murder in a racially hostile southern town,75.0,normanjewison,sidneypoitier,rodsteiger,warrenoates,in the heat of the night crime drama mystery normanjewison sidneypoitier rodsteiger warrenoates a black police detective is asked to investigate a murder in a racially hostile southern town
charade,1963,"Comedy, Mystery, Romance",7.9,romance and suspense ensue in paris as a woman is pursued by several men who want a fortune her murdered husband had stolen whom can she trust?,83.0,stanleydonen,carygrant,audreyhepburn,waltermatthau,charade comedy mystery romance stanleydonen carygrant audreyhepburn waltermatthau romance and suspense ensue in paris as a woman is pursued by several men who want a fortune her murdered husband had stolen whom can she trust?
the manchurian candidate,1962,"Drama, Thriller",7.9,a former prisoner of war is brainwashed as an unwitting assassin for an international communist conspiracy,94.0,johnfrankenheimer,franksinatra,laurenceharvey,janetleigh,the manchurian candidate drama thriller johnfrankenheimer franksinatra laurenceharvey janetleigh a former prisoner of war is brainwashed as an unwitting assassin for an international communist conspiracy
spartacus,1960,"Adventure, Biography, Drama",7.9,the slave spartacus leads a violent revolt against the decadent roman republic,87.0,stanleykubrick,kirkdouglas,laurenceolivier,jeansimmons,spartacus adventure biography drama stanleykubrick kirkdouglas laurenceolivier jeansimmons the slave spartacus leads a violent revolt against the decadent roman republic
l'avventura,1960,"Drama, Mystery",7.9,a woman disappears during a mediterranean boating trip during the search her lover and her best friend become attracted to each other,78.0,michelangeloantonioni,gabrieleferzetti,monicavitti,leamassari,l'avventura drama mystery michelangeloantonioni gabrieleferzetti monicavitti leamassari a woman disappears during a mediterranean boating trip during the search her lover and her best friend become attracted to each other
hiroshima mon amour,1959,"Drama, Romance",7.9,a french actress filming an anti-war film in hiroshima has an affair with a married japanese architect as they share their differing perspectives on war,78.0,alainresnais,emmanuelleriva,eijiokada,stelladassas,hiroshima mon amour drama romance alainresnais emmanuelleriva eijiokada stelladassas a french actress filming an anti-war film in hiroshima has an affair with a married japanese architect as they share their differing perspectives on war
the ten commandments,1956,"Adventure, Drama",7.9,moses an egyptian prince learns of his true heritage as a hebrew and his divine mission as the deliverer of his people,78.0,cecilbdemille,charltonheston,yulbrynner,annebaxter,the ten commandments adventure drama cecilbdemille charltonheston yulbrynner annebaxter moses an egyptian prince learns of his true heritage as a hebrew and his divine mission as the deliverer of his people
the searchers,1956,"Adventure, Drama, Western",7.9,an american civil war veteran embarks on a journey to rescue his niece from the comanches,94.0,johnford,johnwayne,jeffreyhunter,veramiles,the searchers adventure drama western johnford johnwayne jeffreyhunter veramiles an american civil war veteran embarks on a journey to rescue his niece from the comanches
east of eden,1955,Drama,7.9,two brothers struggle to maintain their strict bible-toting father's favor,72.0,eliakazan,jamesdean,raymondmassey,julieharris,east of eden drama eliakazan jamesdean raymondmassey julieharris two brothers struggle to maintain their strict bible-toting father's favor
high noon,1952,"Drama, Thriller, Western",7.9,a town marshal despite the disagreements of his newlywed bride and the townspeople around him must face a gang of deadly killers alone at high noon when the gang leader an outlaw he sent up years ago arrives on the noon train,89.0,fredzinnemann,garycooper,gracekelly,thomasmitchell,high noon drama thriller western fredzinnemann garycooper gracekelly thomasmitchell a town marshal despite the disagreements of his newlywed bride and the townspeople around him must face a gang of deadly killers alone at high noon when the gang leader an outlaw he sent up years ago arrives on the noon train
strangers on a train,1951,"Crime, Film-Noir, Thriller",7.9,a psychopath forces a tennis star to comply with his theory that two strangers can get away with murder,88.0,alfredhitchcock,farleygranger,robertwalker,ruthroman,strangers on a train crime film-noir thriller alfredhitchcock farleygranger robertwalker ruthroman a psychopath forces a tennis star to comply with his theory that two strangers can get away with murder
harvey,1950,"Comedy, Drama, Fantasy",7.9,due to his insistence that he has an invisible six foot-tall rabbit for a best friend a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows,78.0,henrykoster,jamesstewart,wallaceford,williamhlynn,harvey comedy drama fantasy henrykoster jamesstewart wallaceford williamhlynn due to his insistence that he has an invisible six foot-tall rabbit for a best friend a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows
miracle on 34th street,1947,"Comedy, Drama, Family",7.9,when a nice old man who claims to be santa claus is institutionalized as insane a young lawyer decides to defend him by arguing in court that he is the real thing,88.0,georgeseaton,edmundgwenn,maureeno'hara,johnpayne,miracle on 34th street comedy drama family georgeseaton edmundgwenn maureeno'hara johnpayne when a nice old man who claims to be santa claus is institutionalized as insane a young lawyer decides to defend him by arguing in court that he is the real thing
notorious,1946,"Drama, Film-Noir, Romance",7.9,a woman is asked to spy on a group of nazi friends in south america how far will she have to go to ingratiate herself with them?,100.0,alfredhitchcock,carygrant,ingridbergman,clauderains,notorious drama film-noir romance alfredhitchcock carygrant ingridbergman clauderains a woman is asked to spy on a group of nazi friends in south america how far will she have to go to ingratiate herself with them?
